Ready - Initialized,ContainersReady - Ready,PodScheduled - ContainersReady
5.0,0.0,-5.0
3.0,0.0,-3.0
4.0,0.0,-4.0
5.0,0.0,-5.0
4.0,0.0,-4.0
4.0,0.0,-4.0
4.0,0.0,-4.0
17.0,0.0,-17.0
4.0,0.0,-4.0
4.0,0.0,-4.0
17.0,0.0,-17.0
4.0,0.0,-4.0
17.0,0.0,-17.0
4.0,0.0,-4.0
4.0,0.0,-4.0
5.0,0.0,-5.0
4.0,0.0,-4.0
5.0,0.0,-5.0
4.0,0.0,-4.0
5.0,0.0,-5.0
5.0,0.0,-5.0
3.0,0.0,-3.0
5.0,0.0,-5.0
17.0,0.0,-17.0
3.0,0.0,-3.0
3.0,0.0,-3.0
5.0,0.0,-5.0
17.0,0.0,-17.0
5.0,0.0,-5.0
5.0,0.0,-5.0
5.0,0.0,-5.0
4.0,0.0,-4.0
3.0,0.0,-3.0
4.0,0.0,-4.0
5.0,0.0,-5.0
5.0,0.0,-5.0
5.0,0.0,-5.0
4.0,0.0,-4.0
4.0,0.0,-4.0
16.0,0.0,-16.0
4.0,0.0,-4.0
17.0,0.0,-17.0
5.0,0.0,-5.0
16.0,0.0,-16.0
5.0,0.0,-5.0
3.0,0.0,-3.0
0.0,0.0,0.0
4.0,0.0,-4.0
4.0,0.0,-4.0
5.0,0.0,-5.0
4.0,0.0,-4.0
3.0,0.0,-3.0
5.0,0.0,-5.0
3.0,0.0,-3.0
4.0,0.0,-4.0
5.0,0.0,-5.0
17.0,0.0,-17.0
4.0,0.0,-4.0
4.0,0.0,-4.0
17.0,0.0,-17.0
37.5,0.0,-37.5
